f1,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.2970693647437833,0.10005692986136754,gini,0,1,2
0.3136303763087242,0.18777030908142253,gini,0,1,5
0.3402307692307692,0.20173112732485143,gini,0,1,10
0.2859522049765952,0.10221234021476333,gini,0,1,15
0.3176941262047645,0.15355586377945593,gini,0,1,20
0.35555073471731174,0.17384427401461838,gini,0,5,2
0.31902173913043474,0.17759685448260956,gini,0,5,5
0.33100457751620543,0.18236368732876812,gini,0,5,10
0.2655637158660675,0.18787476974844197,gini,0,5,15
0.27036361434197437,0.2133212484787662,gini,0,5,20
0.3229747756487994,0.08826572041930998,gini,0,10,2
0.3229747756487994,0.08826572041930998,gini,0,10,5
0.32070204837607214,0.08323201823347272,gini,0,10,10
0.3229747756487994,0.08826572041930998,gini,0,10,15
0.3229747756487994,0.08826572041930998,gini,0,10,20
0.26288274449564775,0.10184694203926091,gini,0,15,2
0.26288274449564775,0.10184694203926091,gini,0,15,5
0.26288274449564775,0.10184694203926091,gini,0,15,10
0.26288274449564775,0.10184694203926091,gini,0,15,15
0.26288274449564775,0.10184694203926091,gini,0,15,20
0.3176857551307961,0.1580668744794371,gini,0,20,2
0.3176857551307961,0.1580668744794371,gini,0,20,5
0.3176857551307961,0.1580668744794371,gini,0,20,10
0.3176857551307961,0.1580668744794371,gini,0,20,15
0.3176857551307961,0.1580668744794371,gini,0,20,20
0.3881065371739691,0.13339383276254693,gini,2,1,2
0.3881065371739691,0.13339383276254693,gini,2,1,5
0.3881065371739691,0.13339383276254693,gini,2,1,10
0.3881065371739691,0.13339383276254693,gini,2,1,15
0.3881065371739691,0.13339383276254693,gini,2,1,20
0.3881065371739691,0.13339383276254693,gini,2,5,2
0.3881065371739691,0.13339383276254693,gini,2,5,5
0.3881065371739691,0.13339383276254693,gini,2,5,10
0.3881065371739691,0.13339383276254693,gini,2,5,15
0.3881065371739691,0.13339383276254693,gini,2,5,20
0.3881065371739691,0.13339383276254693,gini,2,10,2
0.3881065371739691,0.13339383276254693,gini,2,10,5
0.3881065371739691,0.13339383276254693,gini,2,10,10
0.3881065371739691,0.13339383276254693,gini,2,10,15
0.3881065371739691,0.13339383276254693,gini,2,10,20
0.3881065371739691,0.13339383276254693,gini,2,15,2
0.3881065371739691,0.13339383276254693,gini,2,15,5
0.3881065371739691,0.13339383276254693,gini,2,15,10
0.3881065371739691,0.13339383276254693,gini,2,15,15
0.3881065371739691,0.13339383276254693,gini,2,15,20
0.3881065371739691,0.13339383276254693,gini,2,20,2
0.3881065371739691,0.13339383276254693,gini,2,20,5
0.3881065371739691,0.13339383276254693,gini,2,20,10
0.3881065371739691,0.13339383276254693,gini,2,20,15
0.3881065371739691,0.13339383276254693,gini,2,20,20
0.2686408933589385,0.17087265552732908,gini,5,1,2
0.28214087960765705,0.19096095977696187,gini,5,1,5
0.2805124386497321,0.16322908876548015,gini,5,1,10
0.29014104175394495,0.15004789372131827,gini,5,1,15
0.3103271961176971,0.1819423057048537,gini,5,1,20
0.2512058228460859,0.19022180866932215,gini,5,5,2
0.26115234691025696,0.17115043132490282,gini,5,5,5
0.26115234691025696,0.17115043132490282,gini,5,5,10
0.23823330832708178,0.20586598985526772,gini,5,5,15
0.26490793590892653,0.17662070499617608,gini,5,5,20
0.3229747756487994,0.08826572041930998,gini,5,10,2
0.3229747756487994,0.08826572041930998,gini,5,10,5
0.32070204837607214,0.08323201823347272,gini,5,10,10
0.32070204837607214,0.08323201823347272,gini,5,10,15
0.3229747756487994,0.08826572041930998,gini,5,10,20
0.26288274449564775,0.10184694203926091,gini,5,15,2
0.26288274449564775,0.10184694203926091,gini,5,15,5
0.26288274449564775,0.10184694203926091,gini,5,15,10
0.26288274449564775,0.10184694203926091,gini,5,15,15
0.26288274449564775,0.10184694203926091,gini,5,15,20
0.3176857551307961,0.1580668744794371,gini,5,20,2
0.3176857551307961,0.1580668744794371,gini,5,20,5
0.3176857551307961,0.1580668744794371,gini,5,20,10
0.3176857551307961,0.1580668744794371,gini,5,20,15
0.3176857551307961,0.1580668744794371,gini,5,20,20
0.31990220695123567,0.15423222550003649,gini,10,1,2
0.2726462285124899,0.11275583288069785,gini,10,1,5
0.3145020059305773,0.13307859671859462,gini,10,1,10
0.2718976929503245,0.09583564646239091,gini,10,1,15
0.2983720571547717,0.18822178049791355,gini,10,1,20
0.3154845816390667,0.19955682898037355,gini,10,5,2
0.2996269583366357,0.20657677930781554,gini,10,5,5
0.3086624321816098,0.2230478440621217,gini,10,5,10
0.2798093406789059,0.15473882555151786,gini,10,5,15
0.27036361434197437,0.2133212484787662,gini,10,5,20
0.32070204837607214,0.08323201823347272,gini,10,10,2
0.32070204837607214,0.08323201823347272,gini,10,10,5
0.3229747756487994,0.08826572041930998,gini,10,10,10
0.3229747756487994,0.08826572041930998,gini,10,10,15
0.32070204837607214,0.08323201823347272,gini,10,10,20
0.26288274449564775,0.10184694203926091,gini,10,15,2
0.26288274449564775,0.10184694203926091,gini,10,15,5
0.26288274449564775,0.10184694203926091,gini,10,15,10
0.26288274449564775,0.10184694203926091,gini,10,15,15
0.26288274449564775,0.10184694203926091,gini,10,15,20
0.3176857551307961,0.1580668744794371,gini,10,20,2
0.3176857551307961,0.1580668744794371,gini,10,20,5
0.3176857551307961,0.1580668744794371,gini,10,20,10
0.3176857551307961,0.1580668744794371,gini,10,20,15
0.3176857551307961,0.1580668744794371,gini,10,20,20
0.3012857447825071,0.15281262555513175,gini,15,1,2
0.3019533521010743,0.13966666708889988,gini,15,1,5
0.32663455292026716,0.15134850847783873,gini,15,1,10
0.2783412113190899,0.08151177198826465,gini,15,1,15
0.3097897498793355,0.15451491844272547,gini,15,1,20
0.3317994446577254,0.23223299552660995,gini,15,5,2
0.3365560952657726,0.21737476870177366,gini,15,5,5
0.3306906272022551,0.15015830501153848,gini,15,5,10
0.26411324283664706,0.13648977910217042,gini,15,5,15
0.27036361434197437,0.2133212484787662,gini,15,5,20
0.3229747756487994,0.08826572041930998,gini,15,10,2
0.3229747756487994,0.08826572041930998,gini,15,10,5
0.3229747756487994,0.08826572041930998,gini,15,10,10
0.3229747756487994,0.08826572041930998,gini,15,10,15
0.32070204837607214,0.08323201823347272,gini,15,10,20
0.26288274449564775,0.10184694203926091,gini,15,15,2
0.26288274449564775,0.10184694203926091,gini,15,15,5
0.26288274449564775,0.10184694203926091,gini,15,15,10
0.26288274449564775,0.10184694203926091,gini,15,15,15
0.26288274449564775,0.10184694203926091,gini,15,15,20
0.3176857551307961,0.1580668744794371,gini,15,20,2
0.3176857551307961,0.1580668744794371,gini,15,20,5
0.3176857551307961,0.1580668744794371,gini,15,20,10
0.3176857551307961,0.1580668744794371,gini,15,20,15
0.3176857551307961,0.1580668744794371,gini,15,20,20
0.3491366733669612,0.18517475085633758,gini,20,1,2
0.32619391723535063,0.16610450895120193,gini,20,1,5
0.3164256693668458,0.16970507414837752,gini,20,1,10
0.2859522049765952,0.10221234021476333,gini,20,1,15
0.30249163841841187,0.17956551665438128,gini,20,1,20
0.322869204143141,0.20005130932589932,gini,20,5,2
0.3239587789739765,0.16929863868362172,gini,20,5,5
0.34597056391076325,0.19266297895377102,gini,20,5,10
0.26617570704527227,0.13354655943116833,gini,20,5,15
0.27036361434197437,0.2133212484787662,gini,20,5,20
0.3229747756487994,0.08826572041930998,gini,20,10,2
0.32070204837607214,0.08323201823347272,gini,20,10,5
0.32070204837607214,0.08323201823347272,gini,20,10,10
0.32070204837607214,0.08323201823347272,gini,20,10,15
0.32070204837607214,0.08323201823347272,gini,20,10,20
0.26288274449564775,0.10184694203926091,gini,20,15,2
0.26288274449564775,0.10184694203926091,gini,20,15,5
0.26288274449564775,0.10184694203926091,gini,20,15,10
0.26288274449564775,0.10184694203926091,gini,20,15,15
0.26288274449564775,0.10184694203926091,gini,20,15,20
0.3176857551307961,0.1580668744794371,gini,20,20,2
0.3176857551307961,0.1580668744794371,gini,20,20,5
0.3176857551307961,0.1580668744794371,gini,20,20,10
0.3176857551307961,0.1580668744794371,gini,20,20,15
0.3176857551307961,0.1580668744794371,gini,20,20,20
0.2709622298960284,0.10079761479830064,entropy,0,1,2
0.2722411873840445,0.18245423469271677,entropy,0,1,5
0.3039272487367489,0.13604601843616654,entropy,0,1,10
0.3347503245231919,0.14576381542064254,entropy,0,1,15
0.29741147741147744,0.1345761291014173,entropy,0,1,20
0.2743009921861611,0.15361330342111754,entropy,0,5,2
0.2642982456140351,0.14938062794439375,entropy,0,5,5
0.2734015275504637,0.16094081979115962,entropy,0,5,10
0.29055123738050564,0.13478843685632322,entropy,0,5,15
0.28819650937297997,0.13552288065834,entropy,0,5,20
0.3160959831133677,0.15240163921597735,entropy,0,10,2
0.31912198784150003,0.15479579305396435,entropy,0,10,5
0.31912198784150003,0.15479579305396435,entropy,0,10,10
0.3185991120245066,0.15431691443665504,entropy,0,10,15
0.31912198784150003,0.15479579305396435,entropy,0,10,20
0.2666082346917261,0.07524554553982382,entropy,0,15,2
0.2666082346917261,0.07524554553982382,entropy,0,15,5
0.2666082346917261,0.07524554553982382,entropy,0,15,10
0.2666082346917261,0.07524554553982382,entropy,0,15,15
0.2666082346917261,0.07524554553982382,entropy,0,15,20
0.3072018841630542,0.14811050075066223,entropy,0,20,2
0.3072018841630542,0.14811050075066223,entropy,0,20,5
0.3072018841630542,0.14811050075066223,entropy,0,20,10
0.3072018841630542,0.14811050075066223,entropy,0,20,15
0.3072018841630542,0.14811050075066223,entropy,0,20,20
0.3881065371739691,0.13339383276254693,entropy,2,1,2
0.3881065371739691,0.13339383276254693,entropy,2,1,5
0.3881065371739691,0.13339383276254693,entropy,2,1,10
0.3881065371739691,0.13339383276254693,entropy,2,1,15
0.3881065371739691,0.13339383276254693,entropy,2,1,20
0.3881065371739691,0.13339383276254693,entropy,2,5,2
0.3881065371739691,0.13339383276254693,entropy,2,5,5
0.3881065371739691,0.13339383276254693,entropy,2,5,10
0.3881065371739691,0.13339383276254693,entropy,2,5,15
0.3881065371739691,0.13339383276254693,entropy,2,5,20
0.3881065371739691,0.13339383276254693,entropy,2,10,2
0.3881065371739691,0.13339383276254693,entropy,2,10,5
0.3881065371739691,0.13339383276254693,entropy,2,10,10
0.3881065371739691,0.13339383276254693,entropy,2,10,15
0.3881065371739691,0.13339383276254693,entropy,2,10,20
0.3881065371739691,0.13339383276254693,entropy,2,15,2
0.3881065371739691,0.13339383276254693,entropy,2,15,5
0.3881065371739691,0.13339383276254693,entropy,2,15,10
0.3881065371739691,0.13339383276254693,entropy,2,15,15
0.3881065371739691,0.13339383276254693,entropy,2,15,20
0.3881065371739691,0.13339383276254693,entropy,2,20,2
0.3881065371739691,0.13339383276254693,entropy,2,20,5
0.3881065371739691,0.13339383276254693,entropy,2,20,10
0.3881065371739691,0.13339383276254693,entropy,2,20,15
0.3881065371739691,0.13339383276254693,entropy,2,20,20
0.22797534376481746,0.20198029874503856,entropy,5,1,2
0.22716562716562713,0.20312679484086857,entropy,5,1,5
0.22640671631383708,0.20702578657315732,entropy,5,1,10
0.23860549594689723,0.23366291903730643,entropy,5,1,15
0.24223109092379042,0.22386241694051343,entropy,5,1,20
0.2582459684898709,0.23413830062705349,entropy,5,5,2
0.24678903502432914,0.19731007049021468,entropy,5,5,5
0.2365929565929566,0.1855780577123572,entropy,5,5,10
0.2567676997630254,0.22988578077929264,entropy,5,5,15
0.2638530279659312,0.23849655924957333,entropy,5,5,20
0.3260596572181938,0.16356634747220714,entropy,5,10,2
0.3260596572181938,0.16356634747220714,entropy,5,10,5
0.3280108767303889,0.16678359199860862,entropy,5,10,10
0.3280108767303889,0.16678359199860862,entropy,5,10,15
0.3260596572181938,0.16356634747220714,entropy,5,10,20
0.25954941116231434,0.09070529514354135,entropy,5,15,2
0.25954941116231434,0.09070529514354135,entropy,5,15,5
0.25954941116231434,0.09070529514354135,entropy,5,15,10
0.25954941116231434,0.09070529514354135,entropy,5,15,15
0.25954941116231434,0.09070529514354135,entropy,5,15,20
0.3072018841630542,0.14811050075066223,entropy,5,20,2
0.3072018841630542,0.14811050075066223,entropy,5,20,5
0.3072018841630542,0.14811050075066223,entropy,5,20,10
0.3072018841630542,0.14811050075066223,entropy,5,20,15
0.3072018841630542,0.14811050075066223,entropy,5,20,20
0.29059366781828494,0.09350230084916956,entropy,10,1,2
0.26156133033334183,0.08158168326045757,entropy,10,1,5
0.31613698146781577,0.1217266919409806,entropy,10,1,10
0.2984473206254261,0.0884882444709025,entropy,10,1,15
0.29627452650708463,0.12259717112650532,entropy,10,1,20
0.2842009706540599,0.16594148095592023,entropy,10,5,2
0.26824441259223863,0.17104990269448303,entropy,10,5,5
0.2727083614769209,0.2009310678696361,entropy,10,5,10
0.271985791985792,0.09587829765287416,entropy,10,5,15
0.2973631760396466,0.13465526538009126,entropy,10,5,20
0.3185991120245066,0.15431691443665504,entropy,10,10,2
0.31912198784150003,0.15479579305396435,entropy,10,10,5
0.3160959831133677,0.15240163921597735,entropy,10,10,10
0.3200108767303889,0.15567100780396853,entropy,10,10,15
0.31912198784150003,0.15479579305396435,entropy,10,10,20
0.2666082346917261,0.07524554553982382,entropy,10,15,2
0.2666082346917261,0.07524554553982382,entropy,10,15,5
0.2666082346917261,0.07524554553982382,entropy,10,15,10
0.2666082346917261,0.07524554553982382,entropy,10,15,15
0.2666082346917261,0.07524554553982382,entropy,10,15,20
0.3072018841630542,0.14811050075066223,entropy,10,20,2
0.3072018841630542,0.14811050075066223,entropy,10,20,5
0.3072018841630542,0.14811050075066223,entropy,10,20,10
0.3072018841630542,0.14811050075066223,entropy,10,20,15
0.3072018841630542,0.14811050075066223,entropy,10,20,20
0.2607294149292787,0.12622890191795125,entropy,15,1,2
0.2606908955173233,0.10584195250487406,entropy,15,1,5
0.3090117050782403,0.11759836359074158,entropy,15,1,10
0.302501002029967,0.104810528676656,entropy,15,1,15
0.3197399499725081,0.1491060477454757,entropy,15,1,20
0.25803518187239116,0.15618256804373515,entropy,15,5,2
0.2601040505388331,0.16588034443774324,entropy,15,5,5
0.24613759213759212,0.14356249469631058,entropy,15,5,10
0.2950245418538101,0.12676878079876114,entropy,15,5,15
0.2973631760396466,0.13465526538009126,entropy,15,5,20
0.3200108767303889,0.15567100780396853,entropy,15,10,2
0.32148026448549094,0.1572834527255102,entropy,15,10,5
0.31912198784150003,0.15479579305396435,entropy,15,10,10
0.3160959831133677,0.15240163921597735,entropy,15,10,15
0.3185991120245066,0.15431691443665504,entropy,15,10,20
0.2666082346917261,0.07524554553982382,entropy,15,15,2
0.2666082346917261,0.07524554553982382,entropy,15,15,5
0.2666082346917261,0.07524554553982382,entropy,15,15,10
0.2666082346917261,0.07524554553982382,entropy,15,15,15
0.2666082346917261,0.07524554553982382,entropy,15,15,20
0.3072018841630542,0.14811050075066223,entropy,15,20,2
0.3072018841630542,0.14811050075066223,entropy,15,20,5
0.3072018841630542,0.14811050075066223,entropy,15,20,10
0.3072018841630542,0.14811050075066223,entropy,15,20,15
0.3072018841630542,0.14811050075066223,entropy,15,20,20
0.2966562434855118,0.13921660524100302,entropy,20,1,2
0.2850334448160535,0.12090243180218561,entropy,20,1,5
0.26344956174743406,0.08711257908718385,entropy,20,1,10
0.33333618310905055,0.14651460100929395,entropy,20,1,15
0.2992296592296592,0.14019922887841255,entropy,20,1,20
0.24683590509374484,0.15168649831945752,entropy,20,5,2
0.2661556646663029,0.15675780256561483,entropy,20,5,5
0.26557408472302085,0.1345267015044189,entropy,20,5,10
0.2848251095309918,0.11611341523728416,entropy,20,5,15
0.28819650937297997,0.13552288065834,entropy,20,5,20
0.32148026448549094,0.1572834527255102,entropy,20,10,2
0.31912198784150003,0.15479579305396435,entropy,20,10,5
0.3185991120245066,0.15431691443665504,entropy,20,10,10
0.31912198784150003,0.15479579305396435,entropy,20,10,15
0.32148026448549094,0.1572834527255102,entropy,20,10,20
0.2666082346917261,0.07524554553982382,entropy,20,15,2
0.2666082346917261,0.07524554553982382,entropy,20,15,5
0.2666082346917261,0.07524554553982382,entropy,20,15,10
0.2666082346917261,0.07524554553982382,entropy,20,15,15
0.2666082346917261,0.07524554553982382,entropy,20,15,20
0.3072018841630542,0.14811050075066223,entropy,20,20,2
0.3072018841630542,0.14811050075066223,entropy,20,20,5
0.3072018841630542,0.14811050075066223,entropy,20,20,10
0.3072018841630542,0.14811050075066223,entropy,20,20,15
0.3072018841630542,0.14811050075066223,entropy,20,20,20
