recall,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.34384057971014487,0.2248059211039848,gini,0,1,2
0.34420289855072467,0.21466894447867274,gini,0,1,5
0.31920289855072465,0.22508604156624307,gini,0,1,10
0.2753623188405797,0.13595407999488202,gini,0,1,15
0.2931159420289855,0.24208104968083885,gini,0,1,20
0.29275362318840575,0.24000280051576175,gini,0,5,2
0.3094202898550725,0.29258138138695616,gini,0,5,5
0.3094202898550725,0.29258138138695616,gini,0,5,10
0.24130434782608695,0.1605755244575599,gini,0,5,15
0.23260869565217393,0.2607245974011296,gini,0,5,20
0.2663043478260869,0.1278734014769804,gini,0,10,2
0.2663043478260869,0.1278734014769804,gini,0,10,5
0.2579710144927536,0.10107591753137794,gini,0,10,10
0.2663043478260869,0.1278734014769804,gini,0,10,15
0.2579710144927536,0.10107591753137794,gini,0,10,20
0.19746376811594205,0.1090814409720795,gini,0,15,2
0.19746376811594205,0.1090814409720795,gini,0,15,5
0.19746376811594205,0.1090814409720795,gini,0,15,10
0.19746376811594205,0.1090814409720795,gini,0,15,15
0.19746376811594205,0.1090814409720795,gini,0,15,20
0.23152173913043478,0.16777201201369338,gini,0,20,2
0.23152173913043478,0.16777201201369338,gini,0,20,5
0.23152173913043478,0.16777201201369338,gini,0,20,10
0.23152173913043478,0.16777201201369338,gini,0,20,15
0.23152173913043478,0.16777201201369338,gini,0,20,20
0.3184782608695652,0.12366489263763385,gini,2,1,2
0.3184782608695652,0.12366489263763385,gini,2,1,5
0.3184782608695652,0.12366489263763385,gini,2,1,10
0.3184782608695652,0.12366489263763385,gini,2,1,15
0.3184782608695652,0.12366489263763385,gini,2,1,20
0.3184782608695652,0.12366489263763385,gini,2,5,2
0.3184782608695652,0.12366489263763385,gini,2,5,5
0.3184782608695652,0.12366489263763385,gini,2,5,10
0.3184782608695652,0.12366489263763385,gini,2,5,15
0.3184782608695652,0.12366489263763385,gini,2,5,20
0.3184782608695652,0.12366489263763385,gini,2,10,2
0.3184782608695652,0.12366489263763385,gini,2,10,5
0.3184782608695652,0.12366489263763385,gini,2,10,10
0.3184782608695652,0.12366489263763385,gini,2,10,15
0.3184782608695652,0.12366489263763385,gini,2,10,20
0.3184782608695652,0.12366489263763385,gini,2,15,2
0.3184782608695652,0.12366489263763385,gini,2,15,5
0.3184782608695652,0.12366489263763385,gini,2,15,10
0.3184782608695652,0.12366489263763385,gini,2,15,15
0.3184782608695652,0.12366489263763385,gini,2,15,20
0.3184782608695652,0.12366489263763385,gini,2,20,2
0.3184782608695652,0.12366489263763385,gini,2,20,5
0.3184782608695652,0.12366489263763385,gini,2,20,10
0.3184782608695652,0.12366489263763385,gini,2,20,15
0.3184782608695652,0.12366489263763385,gini,2,20,20
0.24166666666666664,0.24436089156534863,gini,5,1,2
0.25833333333333336,0.2443608915653486,gini,5,1,5
0.24166666666666664,0.24436089156534863,gini,5,1,10
0.2496376811594203,0.21359486961531154,gini,5,1,15
0.2670289855072464,0.24098533990155716,gini,5,1,20
0.21521739130434786,0.20411642772705224,gini,5,5,2
0.21521739130434786,0.20411642772705224,gini,5,5,5
0.21521739130434786,0.20411642772705224,gini,5,5,10
0.19782608695652174,0.22858155527121596,gini,5,5,15
0.22391304347826088,0.22825051736359456,gini,5,5,20
0.2579710144927536,0.10107591753137794,gini,5,10,2
0.2579710144927536,0.10107591753137794,gini,5,10,5
0.2579710144927536,0.10107591753137794,gini,5,10,10
0.2579710144927536,0.10107591753137794,gini,5,10,15
0.2663043478260869,0.1278734014769804,gini,5,10,20
0.19746376811594205,0.1090814409720795,gini,5,15,2
0.19746376811594205,0.1090814409720795,gini,5,15,5
0.19746376811594205,0.1090814409720795,gini,5,15,10
0.19746376811594205,0.1090814409720795,gini,5,15,15
0.19746376811594205,0.1090814409720795,gini,5,15,20
0.23152173913043478,0.16777201201369338,gini,5,20,2
0.23152173913043478,0.16777201201369338,gini,5,20,5
0.23152173913043478,0.16777201201369338,gini,5,20,10
0.23152173913043478,0.16777201201369338,gini,5,20,15
0.23152173913043478,0.16777201201369338,gini,5,20,20
0.32717391304347826,0.1568233808423603,gini,10,1,2
0.28442028985507245,0.08725793173037896,gini,10,1,5
0.3018115942028986,0.1653000047713239,gini,10,1,10
0.2579710144927536,0.11506917821031425,gini,10,1,15
0.2757246376811594,0.27198925686433173,gini,10,1,20
0.30144927536231886,0.21798951509522513,gini,10,5,2
0.3007246376811595,0.24483747593868996,gini,10,5,5
0.30144927536231886,0.25625549107594603,gini,10,5,10
0.23260869565217393,0.15036188231122247,gini,10,5,15
0.23260869565217393,0.2607245974011296,gini,10,5,20
0.2579710144927536,0.10107591753137794,gini,10,10,2
0.2579710144927536,0.10107591753137794,gini,10,10,5
0.2579710144927536,0.10107591753137794,gini,10,10,10
0.2663043478260869,0.1278734014769804,gini,10,10,15
0.2579710144927536,0.10107591753137794,gini,10,10,20
0.19746376811594205,0.1090814409720795,gini,10,15,2
0.19746376811594205,0.1090814409720795,gini,10,15,5
0.19746376811594205,0.1090814409720795,gini,10,15,10
0.19746376811594205,0.1090814409720795,gini,10,15,15
0.19746376811594205,0.1090814409720795,gini,10,15,20
0.23152173913043478,0.16777201201369338,gini,10,20,2
0.23152173913043478,0.16777201201369338,gini,10,20,5
0.23152173913043478,0.16777201201369338,gini,10,20,10
0.23152173913043478,0.16777201201369338,gini,10,20,15
0.23152173913043478,0.16777201201369338,gini,10,20,20
0.3355072463768116,0.16997967433502317,gini,15,1,2
0.29275362318840575,0.12352043914586966,gini,15,1,5
0.3105072463768116,0.1943812721817749,gini,15,1,10
0.26666666666666666,0.1210470319873687,gini,15,1,15
0.2931159420289855,0.24208104968083885,gini,15,1,20
0.2927536231884058,0.24000280051576175,gini,15,5,2
0.3007246376811594,0.27945095748476406,gini,15,5,5
0.29275362318840575,0.27522498482247465,gini,15,5,10
0.23260869565217393,0.15036188231122247,gini,15,5,15
0.23260869565217393,0.2607245974011296,gini,15,5,20
0.2663043478260869,0.1278734014769804,gini,15,10,2
0.2663043478260869,0.1278734014769804,gini,15,10,5
0.2663043478260869,0.1278734014769804,gini,15,10,10
0.2579710144927536,0.10107591753137794,gini,15,10,15
0.2663043478260869,0.1278734014769804,gini,15,10,20
0.19746376811594205,0.1090814409720795,gini,15,15,2
0.19746376811594205,0.1090814409720795,gini,15,15,5
0.19746376811594205,0.1090814409720795,gini,15,15,10
0.19746376811594205,0.1090814409720795,gini,15,15,15
0.19746376811594205,0.1090814409720795,gini,15,15,20
0.23152173913043478,0.16777201201369338,gini,15,20,2
0.23152173913043478,0.16777201201369338,gini,15,20,5
0.23152173913043478,0.16777201201369338,gini,15,20,10
0.23152173913043478,0.16777201201369338,gini,15,20,15
0.23152173913043478,0.16777201201369338,gini,15,20,20
0.3615942028985507,0.23974010993335895,gini,20,1,2
0.30978260869565216,0.19661598355817417,gini,20,1,5
0.31920289855072465,0.22508604156624307,gini,20,1,10
0.2753623188405797,0.13595407999488202,gini,20,1,15
0.3018115942028986,0.2335492744584834,gini,20,1,20
0.32681159420289857,0.25003255406614083,gini,20,5,2
0.3181159420289855,0.2433919791910809,gini,20,5,5
0.30942028985507253,0.22205622869907024,gini,20,5,10
0.21521739130434786,0.12017630400943698,gini,20,5,15
0.23260869565217393,0.2607245974011296,gini,20,5,20
0.2579710144927536,0.10107591753137794,gini,20,10,2
0.2663043478260869,0.1278734014769804,gini,20,10,5
0.2579710144927536,0.10107591753137794,gini,20,10,10
0.2663043478260869,0.1278734014769804,gini,20,10,15
0.2663043478260869,0.1278734014769804,gini,20,10,20
0.19746376811594205,0.1090814409720795,gini,20,15,2
0.19746376811594205,0.1090814409720795,gini,20,15,5
0.19746376811594205,0.1090814409720795,gini,20,15,10
0.19746376811594205,0.1090814409720795,gini,20,15,15
0.19746376811594205,0.1090814409720795,gini,20,15,20
0.23152173913043478,0.16777201201369338,gini,20,20,2
0.23152173913043478,0.16777201201369338,gini,20,20,5
0.23152173913043478,0.16777201201369338,gini,20,20,10
0.23152173913043478,0.16777201201369338,gini,20,20,15
0.23152173913043478,0.16777201201369338,gini,20,20,20
0.2931159420289855,0.10104474210755571,entropy,0,1,2
0.2760869565217391,0.1624481886284296,entropy,0,1,5
0.29347826086956524,0.10470951807645473,entropy,0,1,10
0.27608695652173915,0.13158909522105702,entropy,0,1,15
0.28478260869565214,0.13216247090061448,entropy,0,1,20
0.25072463768115943,0.14247195046312472,entropy,0,5,2
0.25072463768115943,0.16231884057971013,entropy,0,5,5
0.24202898550724639,0.12146276428844617,entropy,0,5,10
0.22391304347826085,0.0608695652173913,entropy,0,5,15
0.22463768115942032,0.14140650339304892,entropy,0,5,20
0.275,0.1524221577648531,entropy,0,10,2
0.26666666666666666,0.13295472395570682,entropy,0,10,5
0.275,0.1524221577648531,entropy,0,10,10
0.275,0.1524221577648531,entropy,0,10,15
0.26666666666666666,0.13295472395570682,entropy,0,10,20
0.20615942028985507,0.0919005151448562,entropy,0,15,2
0.20615942028985507,0.0919005151448562,entropy,0,15,5
0.20615942028985507,0.0919005151448562,entropy,0,15,10
0.20615942028985507,0.0919005151448562,entropy,0,15,15
0.20615942028985507,0.0919005151448562,entropy,0,15,20
0.22282608695652173,0.1652745896412888,entropy,0,20,2
0.22282608695652173,0.1652745896412888,entropy,0,20,5
0.22282608695652173,0.1652745896412888,entropy,0,20,10
0.22282608695652173,0.1652745896412888,entropy,0,20,15
0.22282608695652173,0.1652745896412888,entropy,0,20,20
0.3184782608695652,0.12366489263763385,entropy,2,1,2
0.3184782608695652,0.12366489263763385,entropy,2,1,5
0.3184782608695652,0.12366489263763385,entropy,2,1,10
0.3184782608695652,0.12366489263763385,entropy,2,1,15
0.3184782608695652,0.12366489263763385,entropy,2,1,20
0.3184782608695652,0.12366489263763385,entropy,2,5,2
0.3184782608695652,0.12366489263763385,entropy,2,5,5
0.3184782608695652,0.12366489263763385,entropy,2,5,10
0.3184782608695652,0.12366489263763385,entropy,2,5,15
0.3184782608695652,0.12366489263763385,entropy,2,5,20
0.3184782608695652,0.12366489263763385,entropy,2,10,2
0.3184782608695652,0.12366489263763385,entropy,2,10,5
0.3184782608695652,0.12366489263763385,entropy,2,10,10
0.3184782608695652,0.12366489263763385,entropy,2,10,15
0.3184782608695652,0.12366489263763385,entropy,2,10,20
0.3184782608695652,0.12366489263763385,entropy,2,15,2
0.3184782608695652,0.12366489263763385,entropy,2,15,5
0.3184782608695652,0.12366489263763385,entropy,2,15,10
0.3184782608695652,0.12366489263763385,entropy,2,15,15
0.3184782608695652,0.12366489263763385,entropy,2,15,20
0.3184782608695652,0.12366489263763385,entropy,2,20,2
0.3184782608695652,0.12366489263763385,entropy,2,20,5
0.3184782608695652,0.12366489263763385,entropy,2,20,10
0.3184782608695652,0.12366489263763385,entropy,2,20,15
0.3184782608695652,0.12366489263763385,entropy,2,20,20
0.1717391304347826,0.1605755244575599,entropy,5,1,2
0.1717391304347826,0.1605755244575599,entropy,5,1,5
0.1891304347826087,0.20742365985872283,entropy,5,1,10
0.1891304347826087,0.20742365985872283,entropy,5,1,15
0.18043478260869564,0.16475908975214273,entropy,5,1,20
0.1898550724637681,0.21069891994650725,entropy,5,5,2
0.18115942028985504,0.15005425049906998,entropy,5,5,5
0.17246376811594202,0.1456215268067301,entropy,5,5,10
0.1898550724637681,0.21069891994650725,entropy,5,5,15
0.2072463768115942,0.21683019373060922,entropy,5,5,20
0.26666666666666666,0.13295472395570682,entropy,5,10,2
0.275,0.1524221577648531,entropy,5,10,5
0.26666666666666666,0.13295472395570682,entropy,5,10,10
0.26666666666666666,0.13295472395570682,entropy,5,10,15
0.26666666666666666,0.13295472395570682,entropy,5,10,20
0.19746376811594205,0.1090814409720795,entropy,5,15,2
0.19746376811594205,0.1090814409720795,entropy,5,15,5
0.19746376811594205,0.1090814409720795,entropy,5,15,10
0.19746376811594205,0.1090814409720795,entropy,5,15,15
0.19746376811594205,0.1090814409720795,entropy,5,15,20
0.22282608695652173,0.1652745896412888,entropy,5,20,2
0.22282608695652173,0.1652745896412888,entropy,5,20,5
0.22282608695652173,0.1652745896412888,entropy,5,20,10
0.22282608695652173,0.1652745896412888,entropy,5,20,15
0.22282608695652173,0.1652745896412888,entropy,5,20,20
0.29347826086956524,0.10470951807645475,entropy,10,1,2
0.3021739130434783,0.14833671399332157,entropy,10,1,5
0.3021739130434783,0.12631164388116478,entropy,10,1,10
0.27608695652173915,0.13158909522105702,entropy,10,1,15
0.25869565217391305,0.12328214677180718,entropy,10,1,20
0.2594202898550725,0.15886596644689532,entropy,10,5,2
0.23333333333333334,0.12104703198736873,entropy,10,5,5
0.22463768115942032,0.1302736524883724,entropy,10,5,10
0.24130434782608695,0.08739022279235559,entropy,10,5,15
0.23333333333333334,0.13295472395570684,entropy,10,5,20
0.275,0.1524221577648531,entropy,10,10,2
0.26666666666666666,0.13295472395570682,entropy,10,10,5
0.26666666666666666,0.13295472395570682,entropy,10,10,10
0.275,0.1524221577648531,entropy,10,10,15
0.26666666666666666,0.13295472395570682,entropy,10,10,20
0.20615942028985507,0.0919005151448562,entropy,10,15,2
0.20615942028985507,0.0919005151448562,entropy,10,15,5
0.20615942028985507,0.0919005151448562,entropy,10,15,10
0.20615942028985507,0.0919005151448562,entropy,10,15,15
0.20615942028985507,0.0919005151448562,entropy,10,15,20
0.22282608695652173,0.1652745896412888,entropy,10,20,2
0.22282608695652173,0.1652745896412888,entropy,10,20,5
0.22282608695652173,0.1652745896412888,entropy,10,20,10
0.22282608695652173,0.1652745896412888,entropy,10,20,15
0.22282608695652173,0.1652745896412888,entropy,10,20,20
0.25869565217391305,0.12328214677180717,entropy,15,1,2
0.2851449275362319,0.1734837697235333,entropy,15,1,5
0.28478260869565214,0.10685396284734354,entropy,15,1,10
0.27608695652173915,0.13158909522105702,entropy,15,1,15
0.25869565217391305,0.12328214677180718,entropy,15,1,20
0.23333333333333334,0.16355635918453199,entropy,15,5,2
0.23333333333333334,0.16355635918453199,entropy,15,5,5
0.24202898550724639,0.13333333333333333,entropy,15,5,10
0.23260869565217393,0.06679257172059659,entropy,15,5,15
0.23333333333333334,0.13295472395570684,entropy,15,5,20
0.26666666666666666,0.13295472395570682,entropy,15,10,2
0.26666666666666666,0.13295472395570682,entropy,15,10,5
0.26666666666666666,0.13295472395570682,entropy,15,10,10
0.275,0.1524221577648531,entropy,15,10,15
0.275,0.1524221577648531,entropy,15,10,20
0.20615942028985507,0.0919005151448562,entropy,15,15,2
0.20615942028985507,0.0919005151448562,entropy,15,15,5
0.20615942028985507,0.0919005151448562,entropy,15,15,10
0.20615942028985507,0.0919005151448562,entropy,15,15,15
0.20615942028985507,0.0919005151448562,entropy,15,15,20
0.22282608695652173,0.1652745896412888,entropy,15,20,2
0.22282608695652173,0.1652745896412888,entropy,15,20,5
0.22282608695652173,0.1652745896412888,entropy,15,20,10
0.22282608695652173,0.1652745896412888,entropy,15,20,15
0.22282608695652173,0.1652745896412888,entropy,15,20,20
0.311231884057971,0.16384505054505535,entropy,20,1,2
0.24239130434782608,0.15488272287440763,entropy,20,1,5
0.25,0.11503266569846045,entropy,20,1,10
0.29347826086956524,0.10470951807645475,entropy,20,1,15
0.2673913043478261,0.15036188231122247,entropy,20,1,20
0.25072463768115943,0.14247195046312472,entropy,20,5,2
0.24202898550724639,0.16386427855191385,entropy,20,5,5
0.22463768115942032,0.14140650339304894,entropy,20,5,10
0.23260869565217393,0.06679257172059659,entropy,20,5,15
0.23333333333333334,0.13295472395570684,entropy,20,5,20
0.275,0.1524221577648531,entropy,20,10,2
0.26666666666666666,0.13295472395570682,entropy,20,10,5
0.275,0.1524221577648531,entropy,20,10,10
0.26666666666666666,0.13295472395570682,entropy,20,10,15
0.26666666666666666,0.13295472395570682,entropy,20,10,20
0.20615942028985507,0.0919005151448562,entropy,20,15,2
0.20615942028985507,0.0919005151448562,entropy,20,15,5
0.20615942028985507,0.0919005151448562,entropy,20,15,10
0.20615942028985507,0.0919005151448562,entropy,20,15,15
0.20615942028985507,0.0919005151448562,entropy,20,15,20
0.22282608695652173,0.1652745896412888,entropy,20,20,2
0.22282608695652173,0.1652745896412888,entropy,20,20,5
0.22282608695652173,0.1652745896412888,entropy,20,20,10
0.22282608695652173,0.1652745896412888,entropy,20,20,15
0.22282608695652173,0.1652745896412888,entropy,20,20,20
